x,ca,cb,cc
5.64,0.047308626,0.943599379,0.009091995
5.65,0.047308026,0.943601895,0.009090079
5.66,0.047307432,0.943604396,0.009088172
5.67,0.047306842,0.943606884,0.009086274
5.68,0.047306257,0.943609357,0.009084385
5.69,0.047305678,0.943611817,0.009082506
5.7,0.047305103,0.943614263,0.009080635
5.71,0.047304532,0.943616695,0.009078773
5.72,0.047303967,0.943619113,0.00907692
5.73,0.047303406,0.943621519,0.009075076
5.74,0.047302849,0.943623911,0.00907324
5.75,0.047302297,0.943626289,0.009071413
5.76,0.04730175,0.943628655,0.009069595
5.77,0.047301207,0.943631008,0.009067786
5.78,0.047300668,0.943633348,0.009065985
5.79,0.047300133,0.943635675,0.009064193
5.8,0.047299602,0.943637989,0.009062409
5.81,0.047299076,0.94364029,0.009060634
5.82,0.047298554,0.943642579,0.009058867
5.83,0.047298036,0.943644856,0.009057108
5.84,0.047297521,0.94364712,0.009055358
5.85,0.047297011,0.943649372,0.009053617
5.86,0.047296505,0.943651612,0.009051883
5.87,0.047296002,0.94365384,0.009050158
5.88,0.047295503,0.943656056,0.009048441
5.89,0.047295008,0.94365826,0.009046732
5.9,0.047294517,0.943660452,0.009045031
5.91,0.047294029,0.943662632,0.009043339
5.92,0.047293545,0.943664801,0.009041654
5.93,0.047293064,0.943666958,0.009039978
5.94,0.047292587,0.943669103,0.009038309
5.95,0.047292114,0.943671238,0.009036649
5.96,0.047291643,0.943673361,0.009034996
5.97,0.047291177,0.943675472,0.009033351
5.98,0.047290713,0.943677572,0.009031714
5.99,0.047290253,0.943679662,0.009030085
6,0.047289796,0.94368174,0.009028464
6.01,0.047289343,0.943683807,0.00902685
6.02,0.047288892,0.943685864,0.009025244
6.03,0.047288445,0.943687909,0.009023646
6.04,0.047288001,0.943689944,0.009022055
6.05,0.04728756,0.943691968,0.009020472
6.06,0.047287122,0.943693982,0.009018896
6.07,0.047286687,0.943695985,0.009017328
6.08,0.047286255,0.943697977,0.009015768
6.09,0.047285826,0.943699959,0.009014214
6.1,0.0472854,0.943701931,0.009012669
6.11,0.047284977,0.943703893,0.00901113
6.12,0.047284556,0.943705844,0.009009599
6.13,0.047284139,0.943707786,0.009008075
6.14,0.047283724,0.943709717,0.009006559
6.15,0.047283312,0.943711638,0.00900505
6.16,0.047282903,0.94371355,0.009003547
6.17,0.047282496,0.943715451,0.009002053
6.18,0.047282093,0.943717343,0.009000565
6.19,0.047281691,0.943719225,0.008999084
6.2,0.047281293,0.943721097,0.00899761
6.21,0.047280897,0.943722959,0.008996144
6.22,0.047280503,0.943724812,0.008994684
6.23,0.047280113,0.943726656,0.008993231
6.24,0.047279724,0.94372849,0.008991786
6.25,0.047279338,0.943730315,0.008990347
6.26,0.047278955,0.94373213,0.008988915
6.27,0.047278574,0.943733936,0.00898749
6.28,0.047278195,0.943735733,0.008986071
6.29,0.047277819,0.943737521,0.00898466
6.3,0.047277445,0.9437393,0.008983255
6.31,0.047277074,0.943741069,0.008981857
6.32,0.047276705,0.94374283,0.008980465
6.33,0.047276338,0.943744581,0.008979081
6.34,0.047275973,0.943746324,0.008977702
